Song Name,Artist,Genre,Song Duration,YouTube Link
Hamari Adhuri Kahani,Arijit Singh,Bollywood Sad,6:38,https://youtu.be/f3FFOBrMmdg?si=EsLqXfOr2Un4h_yR
Bekhayali,Sachet Tandon,Bollywood Rock-Ballad,6:11,https://youtu.be/VOLKJJvfAbg?si=4Xb4prZAsD9HqW9W
Zara Sa - Power Ballad,"Pritam, KK",Bollywood Rock,5:28,https://www.youtube.com/watch?v=S0vH6O8rE_4
O Re Piya,Rahat Fateh Ali Khan,Sufi,6:19,https://youtu.be/iv7lcUkFVSc?si=XZVac3j6WqDgC7EW
Bol Na Halke Halke,Rahat Fateh Ali Khan,Bollywood Semi-Classical,5:06,https://youtu.be/jXwg9l9D51A?si=TAhB1DEMsi8mOfLQ
Teri Deewani,Kailash Kher,Sufi/Folk,5:23,https://youtu.be/zZasH6qkn8M?si=H7K8ZdmZypuHmUT8
Khuda Jaane,"KK, Shilpa Rao",Bollywood Romantic,5:33,https://youtu.be/cmMiyZaSELo?si=xAmDGyFW6Zn9wrES
Saathiyaa,"Shreya Ghoshal, Ajay",Bollywood Romantic,5:01,https://youtu.be/2ibPLYwVM38?si=1e9nRPL_nOJKc92s
O Rangrez,Shreya Ghoshal,Bollywood Semi-Classical,6:25,https://youtu.be/jmpUP1MaQ9Q?si=As7EvD76ZexnNU6D
Tumse Milke Dil Ka,Sonu Nigam,Bollywood Qawwali,6:00,https://youtu.be/mXkbWKr5ovU?si=mYJOCijeNW7wZjOQ
Bulleya (Sultan),Papon,Sufi Rock,5:59,https://youtu.be/a9Hxkc9YxGE?si=qaoD8NB0BzX8E6-w
Bulleya (ADHM),Amit Mishra,Sufi Rock,5:48,https://youtu.be/wTgrZE9RWNY?si=2-N0Ad-9Hnft23JY
Tera Ban Jaunga,Akhil Sachdeva,Bollywood Romantic,3:48,https://youtu.be/Qdz5n1Xe5Qo?si=8TOjvEo0JqGJDG3K
Zaalima,"Arijit Singh, Harshdeep Kaur",Bollywood Romantic,4:59,https://youtu.be/lpdRqn6xwiM?si=Fi4Lfd6clUr5eSAG
Gerua,"Arijit Singh, Antara Mitra",Bollywood Romantic,5:45,https://youtu.be/AEIVhBS6baE?si=G9BQKUiLWnT1G4na
Hawayein,Arijit Singh,Bollywood Romantic,4:50,https://youtu.be/cYOB941gyXI?si=ejZI-QnHOROBIPip
Zara Sa,KK,Bollywood Romantic,5:07,https://youtu.be/-8C_2BBVWk8?si=UACLiN43ixs-JgSA
Samjhawan,Arijit Singh,Bollywood Romantic,4:29,https://youtu.be/H2f7MZaw3Yo?si=vkt11ZgkTQ-VvzmD
Saiyyan,Kailash Kher,Sufi,5:48,https://youtu.be/TuUVVKVdZm4?si=k91x8S5tRMMNw52D
Tere Bina,A.R. Rahman,Bollywood Sufi,5:17,https://youtu.be/_mwqXnTEHSc?si=D2FNYUIvt3-EJHhW
Woh Ladki Hai Kahan,Shaan,Bollywood Pop,5:06,https://youtu.be/IIg8H60bRJo?si=apuSZIrAtV5kvbU9
Tera Yaar Hoon Main,Arijit Singh,Bollywood Friendship,4:24,https://youtu.be/EatzcaVJRMs?si=6dVOl3tyYxZfyeFs
Baatein Ye Kabhi Na,Arijit Singh,Bollywood Romantic,4:49,https://youtu.be/SOessajf_Ik?si=ZkXgq4YrSNj_NoDg
Tum Jo Aaye,Rahat Fateh Ali Khan,Bollywood Romantic,4:48,https://youtu.be/kTXilT_KbUM?si=XMUcXwwnGpbU-lXm
Jeene Laga Hoon,Atif Aslam,Bollywood Pop,3:57,https://youtu.be/pkzOBl1p7y4?si=I_AEJbqgwaoFzxnw
Dil Kyun Yeh Mera,KK,Bollywood Romantic,5:34,https://youtu.be/maKDIvUVkQo?si=PxDNdVH9392ii_pH
Khairiyat (Bonus),Arijit Singh,Bollywood Sad,4:40,https://youtu.be/hoNb6HuNmU0?si=OIhW187S9_gnqvgG
